Year,Quarter,CountryOfAsylum,nationality,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,Childinschool,Childvirtualed,medicalReceived,RiskYes,RiskReturn_medical
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,yes,yes,yes,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,3,no,yes,yes,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,3,2,Unknown,yes,Nainpersonclasses,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,Nainpersonclasses,StronglyAgree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,yes,Not Applicable,Not Applicable,Disagree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,Unknown,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,1,yes,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,relocate,3,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,3,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,relocate,3,2,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,relocate,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Undecided,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,1,0,yes,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,Unknown,yes,Nainpersonclasses,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,relocate,1,1,no,yes,yes,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,7,1,no,yes,no,Agree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,yes,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,Unknown,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,no,StronglyAgree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,4,1,no,yes,no,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,4,0,Unknown,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,2,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,dontknow,3,2,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,no,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,5,1,no,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,1,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,dontknow,1,0,Unknown,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,yes,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,5,2,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,Unknown,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,Unknown,yes,Nainpersonclasses,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,4,1,no,yes,no,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,Nainpersonclasses,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,relocate,1,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,dontknow,3,2,no,yes,no,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,yes,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,relocate,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,0,yes,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,3,1,Unknown,yes,yes,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,no,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,2,no,yes,yes,Undecided,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,no,StronglyDisagree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,yes,yes,no,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,relocate,2,0,no,Not Applicable,Not Applicable,Disagree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,relocate,1,1,no,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,dontknow,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,4,1,no,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,4,0,Unknown,Not Applicable,Not Applicable,Undecided,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,2,Unknown,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,2,no,yes,yes,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,yes,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,5,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,Nainpersonclasses,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,relocate,4,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,no,yes,no,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,dontknow,Agree,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,3,2,no,yes,no,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,no,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,yes,StronglyAgree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,dontknow,2,0,no,Not Applicable,Not Applicable,Agree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,3,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,1,no,yes,no,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,3,2,no,yes,Nainpersonclasses,Agree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,3,2,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,5,2,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,2,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,StronglyDisagree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,relocate,4,0,Unknown,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,Nainpersonclasses,StronglyAgree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,Unknown,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,Undecided,0
2021,Q1Q2,Argentina,venezuela,dontknow,1,0,yes,Not Applicable,Not Applicable,Undecided,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,1,2,no,yes,Nainpersonclasses,Agree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,dontknow,3,2,no,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,dontknow,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,1,no,yes,yes,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,no,Disagree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,no,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,Unknown,yes,no,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,Nainpersonclasses,StronglyAgree,Agree,1
